Rank;Bib;"FISCode";Name;YB;"NSACode";Run 1;;;Run 2;;;Total;Race;;;;;;;;;;;;;;;Diff.;Points;Ski;;;;;;Time Rank;;;Time Rank;;;;;;
1;7;512269;ODERMATT Marco;1997;SUI;1;04.03;(1);1;04.39;(5);2:08.42;;0.00;Stoeckli
2;1;531799;FORD Tommy;1989;USA;1;04.46;(4);1;04.69;(12);2:09.15;0.73;5.74;Head
3;2;380335;ZUBCIC Filip;1993;CRO;1;05.28;(21);1;03.89;(1);2:09.17;0.75;5.90;Atomic
4;14;512182;MEILLARD Loic;1996;SUI;1;04.79;(7);1;04.41;(6);2:09.20;0.78;6.13;Rossignol
5;6;194364;PINTURAULT Alexis;1991;FRA;1;04.27;(3);1;04.97;(19);2:09.24;0.82;6.45;Head
6;13;990116;de ALIPRANDINI Luca;1990;ITA;1;04.96;(14);1;04.32;(3);2:09.28;0.86;6.76;Salomon
7;3;421669;NESTVOLD-HAUGEN Leif Kristian;1987;NOR;1;04.22;(2);1;05.11;(23);2:09.33;0.91;7.16;Rossignol
8;26;700830;ZAMPA Adam;1990;SVK;1;04.86;(10);1;04.57;(9);2:09.43;1.01;7.94;Salomon
9;17;202597;SCHMID Alexander;1994;GER;1;04.88;(11);1;04.63;(10);2:09.51;1.09;8.57;Head
10;18;103729;READ Erik;1991;CAN;1;05.17;(19);1;04.38;(4);2:09.55;1.13;8.89;Atomic
11;42;422732;McGRATH Atle Lie;2000;NOR;1;05.69;(25);1;03.97;(2);2:09.66;1.24;9.75;Head
12;4;422304;KRISTOFFERSEN Henrik;1994;NOR;1;04.63;(5);1;05.10;(22);2:09.73;1.31;10.30;Rossignol
13;12;422729;BRAATHEN Lucas;2000;NOR;1;05.08;(16);1;04.67;(11);2:09.75;1.33;10.46;Atomic
14;21;194935;FAVROT Thibaut;1994;FRA;1;04.95;(13);1;04.81;(15);2:09.76;1.34;10.54;Dynastar
15;15;422139;KILDE Aleksander Aamodt;1992;NOR;1;04.79;(7);1;05.02;(20);2:09.81;1.39;10.93;Atomic
16;24;103865;PHILP Trevor;1992;CAN;1;05.00;(15);1;04.84;(18);2:09.84;1.42;11.17;Rossignol
17;22;202437;LUITZ Stefan;1992;GER;1;05.16;(18);1;04.80;(14);2:09.96;1.54;12.11;Rossignol
17;20;54031;LEITINGER Roland;1991;AUT;1;05.15;(17);1;04.81;(15);2:09.96;1.54;12.11;Salomon
19;5;561244;KRANJEC Zan;1992;SLO;1;04.88;(11);1;05.09;(21);2:09.97;1.55;12.19;Rossignol
20;11;194495;FAIVRE Mathieu;1992;FRA;1;04.84;(9);1;05.18;(24);2:10.02;1.60;12.58;Head
21;43;54104;WALCH Magnus;1992;AUT;1;05.70;(26);1;04.52;(8);2:10.22;1.80;14.16;Voelkl
22;16;54320;SCHWARZ Marco;1995;AUT;1;05.41;(22);1;04.82;(17);2:10.23;1.81;14.24;Atomic
23;23;511896;MURISIER Justin;1992;SUI;1;05.57;(23);1;04.79;(13);2:10.36;1.94;15.26;Head
24;58;6290062;BARUFFALDI Stefano;1992;ITA;1;05.88;(30);1;04.51;(7);2:10.39;1.97;15.49;
25;33;511996;YULE Daniel;1993;SUI;1;05.22;(20);1;05.41;(27);2:10.63;2.21;17.38;Fischer
26;44;400237;MEINERS Maarten;1992;NED;1;05.68;(24);1;05.26;(25);2:10.94;2.52;19.82;Rossignol
27;36;291318;TONETTI Riccardo;1989;ITA;1;05.78;(27);1;05.33;(26);2:11.11;2.69;21.16;Blizzard
28;25;6530319;COCHRAN-SIEGLE Ryan;1992;USA;1;05.78;(27);1;05.60;(28);2:11.38;2.96;23.28;Rossignol
29;10;511852;CAVIEZEL Gino;1992;SUI;1;04.71;(6);1;07.65;(29);2:12.36;3.94;30.99;Dynastar
Conditions on course:;;;;;;;
Run 1;MOSTLY CLOUDY;Snow:;PACKED;Temperature - Start:;-6°C;Temperature - Finish:;-4°C
Run 2;LIGHT SNOW;Snow:;PACKED;Temperature - Start:;-3°C;Temperature - Finish:;-2°C
